hiragana	kanji	eng	lesson
たべもの	食べ物	food	13
かいもの	買い物	shoppping	13
もの	物	things	13
ドウブツ	動物	animal	13
とり	鳥	bird	13
やきとり	焼き鳥	grilled chicken	13
ハクチョウ	白鳥	swan	13
リョウリ	料理	cooking	13
リョウキン	料金	charge	13
ジュギョウリョウ	授業料	tuition	13
キュウリョウ	給料	salary	13
リユウ	理由	reason	13
トクに	特に	especially	13
トクベツな	特別な	special	13
トッキュウデンシャ	特急電車	super express train	13
やすい	安い	cheap	13
アンシン	安心	relief	13
フアンな	不安な	uneasy	13
ごハン	ご飯	rice; meal	13
あさごハン	朝ご飯	breakfast	13
ニク	肉	meat	13
ギュウニク	牛肉	beef	13
ニクや	肉屋	meat shop	13
わるい	悪い	bad	13
キブンがわるい	気分が悪い	feel sick	13
サイアク	最悪	worst	13
アクマ	悪魔	devil	13
からだ	体	body	13
タイジュウ	体重	body weight	13
タイソウ	体操	gymnastics	13
クウコウ	空港	airport	13
クウキ	空気	air	13
そら	空	sky	13
あく	空く	be vacant	13
からて	空手	karate	13
コウベコウ	神戸港	Kobe Port	13
みなと	港	port	13
つく	着く	arrive	13
きる	着る	wear	13
きもの	着物	kimono	13
おおさかチャク	大阪着	arriving at Osaka	13
おなじ	同じ	same	13
ドウジ	同時	same time; simultaneous	13
うみ	海	sea	13
ニホンカイ	日本海	Japan Sea	13
カイガイ	海外	overseas	13
ひる	昼	noon; daytime	13
ひるごハン	昼ご飯	lunch	13
チュウショク	昼食	lunch	13
たまご	卵	egg	13
たまごやき	卵焼き	omelet	13
ひこうき	飛行機	airplane	13
とびだす	飛び出す	jump out	13
とんでいる	飛んでいる	fily	13
きかい	機械	machine	13
きかい	機会	opportunity	13
ないている	泣いている	cry	13
しくしくなく	しくしく泣く	cry	13
ワンワンなく	ワンワン泣く	cry	13
およぐ	泳ぐ	swim	13
すいえい	水泳	swimming	13
いそがしい	忙しい	busy	13
ことば	言葉	word;langauge	13
ぶんぽう	文法	grammar	13
かれ	彼	he; boyfriend	14
かのジョ	彼女	she; grilfirend	14
ジダイ	時代	age; era	14
デンキダイ	電気代	electricity fee	14
ロクジュウネンダイ	六十年代	60's	14
ジュウダイ	十代	in one's teens	14
かわりに	代わりに	instead	14
リュウガクセイ	留学生	foreign student	14
ルス	留守	absence from home	14
かきとめ	書き留め	regiesterd mail	14
カゾク	家族	family	14
オウゾク	王族	member of royalty	14
ミンゾク	民族	race	14
ちちおや	父親	father	14
シンセツな	親切な	kind	14
シンユウ	親友	best friend	14
リョウシン	両親	parents	14
したしい	親しい	intimeate	14
きる	切る	cut	14
タイセツな	大切な	precious	14
きって	切手	postage stamp	14
エイゴ	英語	English	14
エイコク	英国	England	14
エイカイワ	英会話	English converation	14
エイユウ	英雄	hero	14
みせ	店	shop	14
テンイン	店員	store attendant	14
バイテン	売店	stall	14
ショテン	書店	book store	14
キョネン	去年	last year	14
カコ	過去	the past	14
さる	去る	leave	14
キュウに	急に	suddenly	14
いそぐ	急ぐ	hurry	14
キュウコウ	急行	express train	14
トッキュウ	特急	super express	14
のる	乗る	ride	14
のりもの	乗り物	vehicl	14
ジョウシャ	乗車	riding a car	14
