hiragana	kanji	eng	lesson	type
ウエイター		waiter	13	Nouns
おじいさん		grandfatner; old man	13	Nouns
おたく	お宅	someone's house/home	13	Nouns
おとな	大人	adult	13	Nouns
がいこくご	外国語	foreign language	13	Nouns
がっき	楽器	musical instrument	13	Nouns
からて	空手	karate	13	Nouns
カレー		curry	13	Nouns
きもの	着物	kimono; japanese traditional dress	13	Nouns
ケーキ		cake	13	Nouns
こうこく	広告	advertisement	13	Nouns
こうちゃ	紅茶	tea (black tea)	13	Nouns
ことば	言葉	language	13	Nouns
ゴルフ		golf	13	Nouns
セーター		sweater	13	Nouns
ぞう	象	elephant	13	Nouns
バイオリン		violin	13	Nouns
バイク		 motobike	13	Nouns
ぶっか	物価	consumer prices	13	Nouns
ぶんぽう	文法	grammar	13	Nouns
べんごし	弁護士	lawer	13	Nouns
ぼしゅう	募集	recuitment	13	Nouns
みせ	店	shop; store	13	Nouns
やくざ		yakuza; gangster	13	Nouns
やくそく	約束	promise; appointment	13	Nouns
レポート		term paper	13	Nouns
わたくし	私	I (formal)	13	Nouns
うれしい		glad	13	い-adj
かなしい	悲しい	sad	13	い-adj
からい	辛い	hot and spicy; salty	13	い-adj
きびしい	厳しい	strict	13	い-adj
ちかい	近い	close; near	13	い-adj
いろいろ（な）		various; different kinds of	13	な-adj
しあわせ（な）	幸せ	happy lasting happinese	13	な-adj
だめ（な）		no good	13	な-adj
あむ	編む	to knit	13	U-verbs
（thingをpersonに）かす	貸す	lend; rent	13	U-verbs
がんばる	頑張る	do one's best; try hard	13	U-verbs
なく	泣く	cry	13	U-verbs
みがく	磨く	brush (teeth); polish	13	U-verbs
やくそくをまもる	約束を守る	keep a promise	13	U-verbs
（～に）かんどうする	感動する	to be moved/touched by…	13	Irregular verbs
いらっしゃいます		someone honorable is present/home	13	Adverbs and other expressions
～かい	～回	..times	13	Adverbs and other expressions
～キロ		kilometers; kilograms	13	Adverbs and other expressions
じつは	実は	as a matter of fact …	13	Adverbs and other expressions
ぜんぶ	全部	all	13	Adverbs and other expressions
～ともうします	～と申します	my name is…	13	Adverbs and other expressions
よろしくおねがいします	よろしくお願いします	thank you (in advance)	13	Adverbs and other expressions
いちにち	一日	one day	13	Numbers
ふつか	二日	two days	13	Numbers
みっか	三日	three days	13	Numbers
よっか	四日	four days	13	Numbers
いつか	五日	five days	13	Numbers
むいか	六日	six days	13	Numbers
なのか	七日	seven days	13	Numbers
ようか	八日	eight days	13	Numbers
ここのか	九日	nine days	13	Numbers
とおか	十日	ten days	13	Numbers
あに	兄	my older brother	14	Nouns
おおやさん	大家さん	landlard	14	Nouns
おかえし	お返し	return as a token of gratitude	14	Nouns
おくさん	奥さん	your/hit wife	14	Nouns
おじさん		uncle; middle-aged man	14	Nouns
おばさん		aunt; middle-aged woman	14	Nouns
クラブ		club; student society	14	Nouns
クリスマス		christmas	14	Nouns
ごしゅじん	ご主人	your/her husband	14	Nouns
コップ		tumbler; glass	14	Nouns
さら	皿	plate; dish	14	Nouns
じかん	時間	time	14	Nouns
チョコレート		chocolate	14	Nouns
でんしメール	電子メール	e-mail	14	Nouns
ぬいぐるみ		stuffed animal	14	Nouns
ネクタイ		necktie	14	Nouns
はは	母	my mother	14	Nouns
バレンタインデー		St. Valentine's Day	14	Nouns
ビデオカメラ		camcorder	14	Nouns
ふうふ	夫婦	married couple; husband and wife	14	Nouns
ホワイトデー		give giving day	14	Nouns
マフラー		 winter scarf	14	Nouns
まんが	漫画	comic book	14	Nouns
マンション		multistory apartment; condominium	14	Nouns
みかん		mandarin	14	Nouns
ゆびわ	指輪	ring	14	Nouns
ラジオ		radio	14	Nouns
りょうしん	両親	parents	14	Nouns
りれきしょ	履歴書	resume	14	Nouns
（thingが）ほしい	欲しい	want	14	い-adj
けち（な）		stingy; cheap	14	な-adj
おくる	送る	send	14	U-verbs
（personに）にあう	似合う	look good (on somebody)	14	U-verbs
あきらめる		given up	14	Ru-verbs
（thingをpersonに）あげる		give to others	14	Ru-verbs
（thingをpersonに）くれる		to give me	14	Ru-verbs
（～が）できる		to come into existnce;   be made	14	Ru-verbs
（personに）そうだんする	相談する	consult	14	Irregular verbs
（personに）プロポーズする		propose marriage	14	Irregular verbs
おなじ	同じ	same	14	Adverbs and other expressions
きょねん	去年	last year	14	Adverbs and other expressions
～くん	～君	Mr/Ms casual	14	Adverbs and other expressions
こんな～		..like this; this kind of …	14	Adverbs and other expressions
～たち		make a noun plural	14	Adverbs and other expressions
わたしたち	私たち	we	14	Adverbs and other expressions
ちょうど		exactly	14	Adverbs and other expressions
よく		welll	14	Adverbs and other expressions
～こ	～個	counter for smaller items	14	Counter
～さつ	～冊	counter for bound volumes	14	Counter
～だい	～台	counter for equipement	14	Counter
～ひき	～匹	counter for smaller animals	14	Counter
～ほん	～本	counter for log onjects	14	Counter
え	絵	painting; picture; drawing	15	Nouns
えいがかん	映画館	movie theater	15	Nouns
がいこくじん	外国人	foreigner	15	Nouns
かぐ	家具	furniture	15	Nouns
かんこう	観光	sightseeing	15	Nouns
けっこんしき	結婚式	wedding	15	Nouns
じしん	地震	earthquake	15	Nouns
しめきり	締め切り	deadline	15	Nouns
ジャケット		jacket	15	Nouns
しゅうかん	習慣	custom	15	Nouns
ぜいきん	税金	tax	15	Nouns
そつぎょうしき	卒業式	graduation ceremony	15	Nouns
そば		soba noodle	15	Nouns
ちず	地図	map	15	Nouns
でんち	電池	battery	15	Nouns
にわ	庭	garden	15	Nouns
はっぴょう	発表	presentation	15	Nouns
ばんぐみ	番組	boardcast program	15	Nouns
プール		swimming pool	15	Nouns
ペット		pet	15	Nouns
よてい	予定	schedule	15	Nouns
りょかん	旅館	inn	15	Nouns
わりびきけん	割引券	discount coupon	15	Nouns
ひろい	広い	spacious; wide	15	い-adj
うる	売る	sell 	15	U-verbs
おろす	下ろす	withdraw (money)	15	U-verbs
かく		draw; paint	15	U-verbs
さがす	探す	look for	15	U-verbs
さそう	誘う	invite	15	U-verbs
（personと）つきあう	付き合う	date someone	15	U-verbs
（purpose に）つきあう	付き合う	keep company	15	U-verbs
（place に）つく	着く	arrive	15	U-verbs
ほけんにはいる	保険に入る	buy insurance	15	U-verbs
（～に）きをつける	きをつける	be cautious/careful	15	Ru-verbs
(matterを）しらべる	調べる	look into a matter	15	Ru-verbs
すてる	捨てる	throw away	15	Ru-verbs
みえる	見える	be visible	15	Ru-verbs
（thing に）する		decide on an item	15	Irregular verbs
（school を）そつぎょうする	卒業する	graduate from…	15	Irregular verbs
よやくする	予約する	reserve	15	Irregular verbs
いちにちじゅう	一日中	all day long	15	Adverbs and other expressions
～けど		…but; … so	15	Adverbs and other expressions
さいきん	最近	recently	15	Adverbs and other expressions
～について		about…; concerning…	15	Adverbs and other expressions
～ばん	～番	number	15	Adverbs and other expressions
～め	～目	th	15	Adverbs and other expressions
もういちど	もう一度	one more time	15	Adverbs and other expressions
えきいん（さん）	駅員	station attenant	16	Nouns
おや	親	parent	16	Nouns
ごみ		garbage	16	Nouns
さとう	砂糖	sugar	16	Nouns
しょうがくきん	奨学金	scholarship	16	Nouns
しんせき	親せき	relatives	16	Nouns
すいせんじょう	推薦状	letter of recommendation	16	Nouns
だいがくいん	大学院	graduate school	16	Nouns
たいふう	台風	typhoon	16	Nouns
ひ	日	day	16	Nouns
ファイル		file; portfolio	16	Nouns
みち	道	way;road; directions	16	Nouns
めざましどけい	目覚まし時計	alarm clock	16	Nouns
きたない	汚い	dirty	16	い-adj
おこす	起こす	wake someone up	16	U-verbs
（person に meal を）おごる		treat someone to a  meal	16	U-verbs
おちこむ	落ち込む	get depressed	16	U-verbs
こまる	困る	have difficulty	16	U-verbs
だす	出す	take something out; to hand in something	16	U-verbs
つれていく	連れていく	toake someone to a place	16	U-verbs
（person を place に）なおす	直す	correct; fix	16	U-verbs
みちにまよう	道に迷う	become lost; lose one's way	16	U-verbs
（source を target に）やくす	訳す	translate	16	U-verbs
わらう	笑う	laugh	16	U-verbs
アイロンをかける		iron clothes	16	Ru-verbs
あつめる	集める	collect	16	Ru-verbs
（thing を place に）いれる	入れる	put something in 	16	Ru-verbs
（～に）のりおくれる	乗り遅れる	miss (a train; bus)	16	Ru-verbs
みせる	見せる	show	16	Ru-verbs
あさねぼうする	朝寝坊する	oversleep	16	Irregular verbs
あんないする	案内する	show someone around	16	Irregular verbs
せつめいする	説明する	explain	16	Irregular verbs
むかえにくる	迎えに来る	come to pick up someone	16	Irregular verbs
ええと		well; let me see…	16	Adverbs and other expressions
きょうじゅうに	今日中に	by the end of today	16	Adverbs and other expressions
このあいだ	この間	the other day	16	Adverbs and other expressions
このぐらい		about this much	16	Adverbs and other expressions
ごめん		I'm sorry (casual)	16	Adverbs and other expressions
しつれいします	失礼します	excuse me; sorry to interrupte you	16	Adverbs and other expressions
じぶんで	自分で	do something oneself	16	Adverbs and other expressions
じゅぎょうちゅうに	授業中に	in class; during the class	16	Adverbs and other expressions
ほかの		other	16	Adverbs and other expressions
おきゃくさん	お客さん	guest;visitor;client;customer 	17	Nouns
おとこ	男	man	17	Nouns
おゆ	お湯	hot water	17	Nouns
おんな	女	woman	17	Nouns
かぎ		lock;key	17	Nouns
かみ	紙	paper	17	Nouns
きゅうりょう	給料	salary	17	Nouns
コンタクト		contact lenses	17	Nouns
さいてい	最低	the lowest; the worst	17	Nouns
サラリーマン		salaryman; company employee	17	Nouns
ざんぎょう	残業	overtime work	17	Nouns
ストーブ		heater	17	Nouns
たからくじ	宝くじ	lottery	17	Nouns
ちがい	違い	difference	17	Nouns
ニュース		news	17	Nouns
ひげ		beard	17	Nouns
ひみつ	秘密	secret	17	Nouns
りょう	寮	dormitory	17	Nouns
りょこうがいしゃ	旅行会社	travel agency	17	Nouns
うらやましい		envious	17	い-adj
すくない	少ない	a little; a few	17	い-adj
つよい	強い	strong	17	い-adj
えらぶ	選ぶ	to choose; to select	17	U-verbs
おゆをわかす	お湯を沸かす	to boil water	17	U-verbs
かみをとかす	髪をとかす	to comb one's hair	17	U-verbs
こむ	込む	to get crowded	17	U-verbs
たからくじにあたる	宝くじに当たる	to win a lottery	17	U-verbs
ぬぐ	脱ぐ	to take off (clothes)	17	U-verbs
ひげをそる		to shave one's beard	17	U-verbs
いれる		to make tea; coffee; etc.	17	Ru-verbs
（~に）かぎをかける		to lock	17	Ru-verbs
たりる	足りる	to be sufficient; to be enough	17	Ru-verbs
（~に）なれる	慣れる	to get used to …	17	Ru-verbs
けしょうする	化粧する	to put makeup on	17	Irregular verbs
（~に）しゅうしょくする	就職する	to get a full-time job (at…)	17	Irregular verbs
する		to wear small items(necktie; watrch; etc.)	17	Irregular verbs
りこんする	離婚する	to get a divorce	17	Irregular verbs
おめでとうございます		congratulations	17	Adverbs and other expressions
～かな（あ）		! Wonder … (casual)	17	Adverbs and other expressions
じぶん	自分	oneself	17	Adverbs and other expressions
ずいぶん		very	17	Adverbs and other expressions
そうか		I see (casual)	17	Adverbs and other expressions
それに		moreover;…	17	Adverbs and other expressions
たとえば	例えば	for example	17	Adverbs and other expressions
～にくらべて	～に比べて	compared with	17	Adverbs and other expressions
～によると		according to	17	Adverbs and other expressions
まえ	前	before	17	Adverbs and other expressions
やっぱり		afrer all	17	Adverbs and other expressions
あと	後	the rest	18	Nouns
エアコン		air-conditioner	18	Nouns
カーテン		curtain	18	Nouns
ぎゅうにゅう	牛乳	milk	18	Nouns
シャンプー		shampoo	18	Nouns
しょうゆ	しょう油	soy sauce	18	Nouns
スイッチ		switch	18	Nouns
スカート		skirt	18	Nouns
そと	外	outside	18	Nouns
タオル		towel	18	Nouns
にっき	日記	diary	18	Nouns
ポップコーン		popcorn	18	Nouns
やちん	家賃	rent	18	Nouns
ゆうがた	夕方	evening	18	Nouns
ラジカセ		cassette player with a radio	18	Nouns
るすばんでんわ	留守番電話	answering machine	18	Nouns
れいぞうこ	冷蔵庫	refrigerator	18	Nouns
ろうそく		candle	18	Nouns
あかるい	明るい	bright	18	い-adj
きぶんがわるい	気分が悪い	to feel sick	18	い-adj
はずかしい	恥ずかしい	ambarrassing; to feel embarrassed	18	い-adj
(~が）あく	開く	(something) opens	18	U-verbs
あやまる	謝る	to apologize	18	U-verbs
おす	押す	to press; to push	18	U-verbs
(~を）おとす	落とす	to drop (something)	18	U-verbs
おゆがわく	お湯が沸く	water boils	18	U-verbs
ころぶ	転ぶ	to fall down	18	U-verbs
(~を）こわす	壊す	to break (something)	18	U-verbs
さく	咲く	to bloom	18	U-verbs
(~が）しまる	閉まる	(something) closes	18	U-verbs
たすかる	助かる	to be saved; to be helped	18	U-verbs
たのむ	頼む	to ask a favor	18	U-verbs
(~が）つく		(something) turns on	18	U-verbs
(~を）よごす	汚す	to make dirty	18	U-verbs
(~が）おちる	落ちる	(something) drops	18	Ru-verbs
かんがえる	考える	to think about; to consider	18	Ru-verbs
きえる	消える	(something) goes off	18	Ru-verbs
(~が）こわれる	壊れる	(something) breaks	18	Ru-verbs
(~が）よごれる	汚れる	to become dirty	18	Ru-verbs
ちゅうもんする	注文する	to place an order	18	Irregular verbs
いますぐ	今すぐ	right away	18	Adverbs and other expressions
(~の）おかげで		thanks to…	18	Adverbs and other expressions
おさきにしつれいします	お先に失礼します	see you. (leaving ahead of you)	18	Adverbs and other expressions
おつかれさま（でした）	お疲れ様（でした）	You are tired after working so hard	18	Adverbs and other expressions
～（ん）だろう		short form of ～(ん）でしょう	18	Adverbs and other expressions
どうしよう		what should do	18	Adverbs and other expressions
