word	kanji	lesson	semester
いち	一	3	fall
いちじ	一時	3	fall
いちねんせい	一年生	3	fall
いっぷん	一分	3	fall
ひとつ	一つ	3	fall
に	二	3	fall
にじ	二時	3	fall
にねんせい	二年生	3	fall
ふたつ	二つ	3	fall
ふつかかん	二日間	3	fall
さん	三	3	fall
さんじ	三時	3	fall
さんねんせい	三年生	3	fall
さんがつ	三月	3	fall
みっつ	三つ	3	fall
よん	四	3	fall
よじ	四時	3	fall
よねんせい	四年生	3	fall
しがつ	四月	3	fall
よっつ	四つ	3	fall
ご	五	3	fall
ごじ	五時	3	fall
ごがつ	五月	3	fall
ごさい	五歳	3	fall
いつつ	五つ	3	fall
ろく	六	3	fall
ろくじ	六時	3	fall
ろっぴゃく	六百	3	fall
ろっぷん	六分	3	fall
むっつ	六つ	3	fall
しち／なな	七	3	fall
しちじ	七時	3	fall
しちがつ	七月	3	fall
ななつ	七つ	3	fall
ななにん／しちにん	七人	3	fall
はち	八	3	fall
はちじ	八時	3	fall
はっぴゃく	八百	3	fall
はっさい	八歳	3	fall
やっつ	八つ	3	fall
きゅう	九	3	fall
くじ	九時	3	fall
くがつ	九月	3	fall
きゅうさい	九歳	3	fall
ここのつ	九つ	3	fall
じゅう	十	3	fall
じゅうじ	十時	3	fall
じゅうがつ	十月	3	fall
じゅっさい／じっさい	十歳	3	fall
とお	十	3	fall
ひゃく	百	3	fall
さんびゃく	三百	3	fall
せん	千	3	fall
さんぜん	三千	3	fall
はっせん	八千	3	fall
せんえん	千円	3	fall
いちまん	一万	3	fall
じゅうまん	十万	3	fall
ひゃくまん	百万	3	fall
ひゃくえん	百円	3	fall
えん	円	3	fall
えんだか	円高	3	fall
まるい	円い	3	fall
こどものとき	子供の時	3	fall
ときどき	時々	3	fall
とけい	時計	3	fall
にほん	日本	4	fall
にちようび	日曜日	4	fall
まいにち	毎日	4	fall
ははのひ	母の日	4	fall
にっき	日記	4	fall
みっか	三日	4	fall
ほん	本	4	fall
にほんご	日本語	4	fall
やまもとさん	山本さん	4	fall
にほんじん	日本人	4	fall
ひとりで	一人で	4	fall
このひと	この人	4	fall
さんにん	三人	4	fall
げつようび	月曜日	4	fall
つき	月	4	fall
こんげつ	今月	4	fall
いっかげつ	一か月	4	fall
かようび	火曜日	4	fall
ひ	火	4	fall
かざん	火山	4	fall
はなび	花火	4	fall
かせい	火星	4	fall
すいようび	水曜日	4	fall
みず	水	4	fall
すいえい	水泳	4	fall
すいどう	水道	4	fall
みずぎ	水着	4	fall
もくようび	木曜日	4	fall
き	木	4	fall
きむらさん	木村さん	4	fall
きんようび	金曜日	4	fall
おかね	お金	4	fall
りょうきん	料金	4	fall
おかねもち	お金持ち	4	fall
どようび	土曜日	4	fall
つち	土	4	fall
とち	土地	4	fall
ねんど	粘土	4	fall
ようび	曜日	4	fall
うえ	上	4	fall
じょうずな	上手な	4	fall
おくじょう	屋上	4	fall
のぼる	上る	4	fall
した	下	4	fall
ちかてつ	地下鉄	4	fall
へたな	下手な	4	fall
ください	下さい	4	fall
なか	中	4	fall
ちゅうごく	中国	4	fall
ちゅうがく	中学	4	fall
いちねんじゅう	一年中	4	fall
さんじはん	三時半	4	fall
はんぶん	半分	4	fall
はんとし	半年	4	fall
はんがく	半額	4	fall
やま	山	5	fall
やまかわさん	山川さん	5	fall
ふじさん	富士山	5	fall
かわ	川	5	fall
おがわさん	小川さん	5	fall
げんきな	元気な	5	fall
がんじつ	元日	5	fall
じもと	地元	5	fall
てんき	天気	5	fall
でんき	電気	5	fall
きもち	気持ち	5	fall
にんき	人気	5	fall
てんごく	天国	5	fall
てんのう	天皇	5	fall
てんさい	天才	5	fall
わたし	私	5	fall
しりつだいがく	私立大学	5	fall
してつ	私鉄	5	fall
いま	今	5	fall
きょう	今日	5	fall
こんばん	今晩	5	fall
ことし	今年	5	fall
たなかさん	田中さん	5	fall
やまださん	山田さん	5	fall
たんぼ	田んぼ	5	fall
おんなのひと	女の人	5	fall
じょせい	女性	5	fall
おんなのこ	女の子	5	fall
ちょうじょ	長女	5	fall
おとこのひと	男の人	5	fall
だんせい	男性	5	fall
おとこのこ	男の子	5	fall
だんしがくせい	男子学生	5	fall
みる	見る	5	fall
けんぶつ	見物	5	fall
はなみ	花見	5	fall
いけん	意見	5	fall
いく	行く	5	fall
ぎんこう	銀行	5	fall
いちぎょうめ	一行目	5	fall
りょこう	旅行	5	fall
たべる	食べる	5	fall
たべもの	食べ物	5	fall
しょくどう	食堂	5	fall
しょくじ	食事	5	fall
ちょうしょく	朝食	5	fall
のむ	飲む	5	fall
のみもの	飲み物	5	fall
いんしゅうんてん	飲酒運転	5	fall
ひがし	東	6	fall
ひがしぐち	東口	6	fall
とうきょう	東京	6	fall
かんとう	関東	6	fall
とうよう	東洋	6	fall
にし	西	6	fall
にしぐち	西口	6	fall
ほくせい	北西	6	fall
かんさい	関西	6	fall
せいよう	西洋	6	fall
みなみ	南	6	fall
みなみぐち	南口	6	fall
なんとう	南東	6	fall
なんきょく	南極	6	fall
とうなんアジア	東南アジア	6	fall
きたぐち	北口	6	fall
とうほく	東北	6	fall
ほっきょく	北極	6	fall
ほっかいどう	北海道	6	fall
くち	口	6	fall
じんこう	人口	6	fall
いりぐち	入り口／入口	6	fall
でる	出る	6	fall
でぐち	出口	6	fall
だす	出す	6	fall
しゅっせき	出席	6	fall
ゆしゅつ	輸出	6	fall
みぎ	右	6	fall
うせつ	右折	6	fall
さゆう	左右	6	fall
みぎて	右手	6	fall
みぎがわ	右側	6	fall
ひだり	左	6	fall
させつ	左折	6	fall
ひだりて	左手	6	fall
ひだりきき	左利き	6	fall
