hiragana	kanji	eng	lesson
あの		um	1
いま		now	1
えいご		english	1
ええ		yes	1
がくせい		student	1
～ご		…language	1
こうこう		high school	1
ごご		p.m.	1
ごぜん		a.m.	1
～さい		… years old	1
～さん		mr/ms	1
～じ		o'clock	1
～じん		… people	1
せんこう		major	1
せんせい		teacher;professor	1
そうです		that's right	1
そうですか		is that so	1
だいがく		college;university	1
でんわ		telephone	1
ともだち		friend	1
なまえ		name	1
なん;なに		what	1
にほん		japan	1
～ねんせい		… years student	1
はい		yes;ok	1
はん		half	1
ばんごう		number	1
りゅうがくせい		international student	1
わたし		I;me	1
アメリカ		America	1
イギリス		English	1
オーストラリア		Australia	1
かんこく		Korea	1
スウェーデン		Sweden	1
ちゅうごく		China	1
かがく		science	1
アジアけんきゅう		Asian studies	1
けいざい		economics	1
こくさいかんけい		international relations	1
コンピューター		computer	1
じんるいがく		anthropology	1
せいじ		politics	1
ビジネス		business	1
ぶんがく		literature	1
れきし		history	1
しごと		job;work	1
いしゃ		doctor	1
かいしゃいん		office worker	1
こうこうせい		high school student	1
しゅふ		housewife	1
だいがくいんせい		graduate student	1
だいがくせい		college student	1
べんごし		lawyer	1
おかあさん		mother	1
おとうさん		father	1
おねえさん		older sister	1
おにいさん		older brother	1
いもうと		younger sister	1
おとうと		younger brother	1
これ		this one	2
それ		that one	2
あれ		that one(over there)	2
どれ		which one	2
この		this …	2
その		that …	2
あの		that …(over there)	2
どの		which …	2
ここ		here	2
そこ		there	2
あそこ		over there	2
どこ		where	2
だれ		who	2
おいしい		delicious	2
さかな		fish	2
とんかつ		pork cutlet	2
にく		meat	2
メニュー		menu	2
やさい		vegetable	2
えんぴつ		pencil	2
かさ		umbrella	2
かばん		bag	2
くつ		shoes	2
さいふ		wallet	2
ジーンズ		jeans	2
じしょ		dictionary	2
じてんしゃ		bicycle	2
しんぶん		newspaper	2
Tシャツ		T-shirt	2
とけい		watch;clock	2
ノート		notebook	2
ペン		pen	2
ぼうし		hat;cap	2
ほん		book	2
きっさてん		cafe	2
ぎんこう		bank	2
トイレ		toilet	2
としょかん		library	2
ゆうびんきょく		post office	2
アメリカ		America	2
イギリス		English	2
かんこく		Korea	2
ちゅうごく		China	2
けいざい		economics	2
コンピューター		computer	2
ビジネス		business	2
れきし		history	2
おかあさん		mother	2
おとうさん		father	2
いくら		how much	2
～えん		…yen	2
たかい		high	2
いらっしゃいませ		welcome(to our store)	2
（～を）おねがいします		…please	2
（～を）ください		please give me…	2
じゃあ		then	2
どうぞ		please.here it is.	2
どうも		Thank you	2
えいが	映画	movie	3
おんがく	音楽	music	3
ざっし	雑誌	magazine	3
スポーツ		sports	3
デート		date	3
テニス		tennis	3
テレビ		TV	3
アイスクリーム		ice cream	3
