syllable	hiragana	katagana	type		
a	あ	ア	origin		
ba	ば	バ	origin		
be	べ	ベ	origin		
bi	び	ビ	origin		
bo	ぼ	ボ	origin		
bu	ぶ	ブ	origin		
chi	ち	チ	origin		
da	だ	ダ	origin		
de	で	デ	origin		
dji	ぢ	ヂ	origin		
do	ど	ド	origin		
du	づ	ヅ	origin		
e	え	エ	origin		
fu	ふ	フ	origin		
ga	が	ガ	origin		
ge	げ	ゲ	origin		
gi	ぎ	ギ	origin		
go	ご	ゴ	origin		
gu	ぐ	グ	origin		
ha	は	ハ	origin		
he	へ	ヘ	origin		
hi	ひ	ヒ	origin		
ho	ほ	ホ	origin		
i	い	イ	origin		
ji	じ	ジ	origin		
ka	か	カ	origin		
ke	け	ケ	origin		
ki	き	キ	origin		
ko	こ	コ	origin		
ku	く	ク	origin		
ma	ま	マ	origin		
me	め	メ	origin		
mi	み	ミ	origin		
mo	も	モ	origin		
mu	む	ム	origin		
nn	ん	ン	origin		
na	な	ナ	origin		
ne	ね	ネ	origin		
ni	に	ニ	origin		
no	の	ノ	origin		
nu	ぬ	ヌ	origin		
o	お	オ	origin		
pa	ぱ	パ	origin		
pe	ぺ	ペ	origin		
pi	ぴ	ピ	origin		
po	ぽ	ポ	origin		
pu	ぷ	プ	origin		
ra	ら	ラ	origin		
re	れ	レ	origin		
ri	り	リ	origin		
ro	ろ	ロ	origin		
ru	る	ル	origin		
sa	さ	サ	origin		
se	せ	セ	origin		
shi	し	シ	origin		
so	そ	ソ	origin		
su	す	ス	origin		
ta	た	タ	origin		
te	て	テ	origin		
to	と	ト	origin		
tsu	つ	ツ	origin		
u	う	ウ	origin		
vu	?	ヴ	origin		
wa	わ	ワ	origin		
wo	を	ヲ	origin		
ya	や	ヤ	origin		
yo	よ	ヨ	origin		
yu	ゆ	ユ	origin		
za	ざ	ザ	origin		
ze	ぜ	ゼ	origin		
zo	ぞ	ゾ	origin		
zu	ず	ズ	origin		
gyu	ぎゅ	ギュ	addition		
chu	ちゅ	チュ	addition		
gyo	ぎょ	ギョ	addition		
shu	しゅ	シュ	addition		
dyo	ぢょ	ヂョ	addition		
dya	ぢゃ	ヂャ	addition		
ja	じゃ	ジャ	addition		
byu	びゅ	ビュ	addition		
gya	ぎゃ	ギャ	addition		
dyu	ぢゅ	ヂュ	addition		
sho	しょ	ショ	addition		
ju	じゅ	ジュ	addition		
byo	びょ	ビョ	addition		
pyu	ぴゅ	ピュ	addition		
myo	みょ	ミョ	addition		
bya	びゃ	ビャ	addition		
hyo	ひょ	ヒョ	addition		
hyu	ひゅ	ヒュ	addition		
kyo	きょ	キョ	addition		
kya	きゃ	キャ	addition		
cha	ちゃ	チャ	addition		
myu	みゅ	ミュ	addition		
kyu	きゅ	キュ	addition		
hya	ひゃ	ヒャ	addition		
pya	ぴゃ	ピャ	addition		
sha	しゃ	シャ	addition		
pyo	ぴょ	ピョ	addition		
ryo	りょ	リョ	addition		
rya	りゃ	リャ	addition		
nya	にゃ	ニャ	addition		
nyo	にょ	ニョ	addition		
ryu	りゅ	リュ	addition		
cho	ちょ	チョ	addition		
jo	じょ	ジョ	addition		
nyu	にゅ	ニュ	addition		
mya	みゃ	ミャ	addition		
